label,array_size,working_set_bytes,ntimes,copy_min,copy_med,copy_max,scale_min,scale_med,scale_max,add_min,add_med,add_max,triad_min,triad_med,triad_max,cpu_freq_mhz,temp_c
813K,69376,832512,1289,26453.1,26453.1,26453.1,5908.3,5908.3,5908.3,8862.5,8862.5,8862.5,8862.5,8862.5,8862.5,2200,54.0
912K,77824,933888,1149,26113.4,26113.4,26113.4,5881.4,5881.4,5881.4,8822.1,8822.1,8822.1,8822.1,8822.1,8822.1,2200,54.0
1.00M,87381,1048576,1024,25947.1,25947.1,25947.1,5875.8,5875.8,5875.8,8813.7,8813.7,8813.7,8813.7,8813.7,8813.7,2200,54.0
1.12M,98048,1176576,912,26319.6,26319.6,26319.6,5906.5,5906.5,5906.5,8859.8,8859.8,8859.8,8859.8,8859.8,8859.8,2200,54.0
1.26M,110080,1320960,812,26011.8,26011.8,26011.8,5872.3,5872.3,5872.3,8808.4,8808.4,8808.4,8808.4,8808.4,8808.4,2200,54.0
1.41M,123562,1482752,724,26075.8,26075.8,26075.8,5889.3,5889.3,5889.3,8833.9,8833.9,8833.9,8833.9,8833.9,8833.9,2200,54.0
1.59M,138666,1664000,645,25849.2,25849.2,25849.2,5874.8,5874.8,5874.8,8812.2,8812.2,8812.2,8812.2,8812.2,8812.2,2200,54.0
1.78M,155733,1868800,574,25002.5,25997.7,25997.7,5878.0,5878.0,5878.0,8817.0,8817.0,8817.0,8817.0,8817.0,8817.0,2200,54.0
2.00M,174762,2097152,512,25060.0,25060.0,25495.8,5875.8,5875.8,5875.8,8813.7,8813.7,8813.7,8813.7,8813.7,8813.7,2200,55.0
2.25M,196181,2354176,456,24934.6,25318.2,25318.2,5882.7,5882.7,5882.7,8824.1,8824.1,8824.1,8824.1,8824.1,8824.1,2200,54.0
2.52M,220160,2641920,406,24141.6,24873.2,25212.8,5872.3,5872.3,5872.3,8752.8,8808.4,8808.4,8808.4,8808.4,8808.4,2200,54.0
