label,array_size,working_set_bytes,ntimes,copy_min,copy_med,copy_max,scale_min,scale_med,scale_max,add_min,add_med,add_max,triad_min,triad_med,triad_max,cpu_freq_mhz,temp_c
383.57M,16758272,402198528,5,12304.7,13071.3,13313.5,11528.6,11536.5,11544.5,10337.4,10390.0,10422.0,10334.0,10355.6,10379.6,2,54.0
406.38M,17754794,426115072,5,13353.2,13384.1,13389.0,11527.3,11531.8,11553.5,10413.4,10438.4,10460.4,10391.7,10397.6,10409.8,2,54.0
430.54M,18810538,451452928,5,11555.7,12799.0,13056.1,11538.9,11545.1,11553.0,10213.9,10269.4,10331.0,10217.8,10241.2,10335.2,2,54.0
456.14M,19929088,478298112,5,11480.3,13017.1,13052.2,11504.8,11529.7,11540.6,10156.5,10391.9,10396.0,10334.2,10347.6,10389.9,2,54.0
483.26M,21114112,506738688,5,12397.3,13433.0,13830.6,11499.2,11540.9,11553.6,10238.2,10397.6,10511.3,10193.5,10377.0,10504.1,2,54.0
512.00M,22369621,536870912,5,12406.0,12724.4,13333.1,11536.7,11541.1,11549.7,10199.5,10227.3,10277.0,10169.5,10268.9,10389.6,2,54.0
542.45M,23699797,568795136,5,12581.6,12607.5,12626.8,11527.1,11531.0,11553.2,10200.2,10265.2,10277.6,10197.7,10217.8,10219.4,2,54.0
574.70M,25109034,602616832,5,12398.7,13015.4,14137.5,11533.8,11536.5,11546.4,10188.3,10306.8,10492.0,10175.9,10297.9,10451.5,2,54.0
608.87M,26602112,638450688,5,11892.9,12261.2,12691.9,11543.2,11548.6,11559.8,10106.7,10146.7,10260.7,10041.2,10087.9,10194.5,2,54.0
645.08M,28183936,676414464,5,11872.5,13032.2,13550.3,11528.0,11532.7,11599.2,10158.2,10296.3,10391.2,9039.8,10355.9,10451.7,2,54.0
683.44M,29859882,716637184,5,12398.1,12773.6,13888.7,11537.6,11541.4,11547.0,9831.0,10298.6,10410.8,9557.7,9823.5,10227.7,2,54.0
724.08M,31635413,759249920,5,12478.8,12670.6,13245.5,11540.8,11545.8,11550.3,10123.5,10268.7,10316.6,10222.1,10412.7,10414.4,2,55.0
767.13M,33516544,804397056,5,11746.3,12249.9,12789.5,11491.0,11493.5,11545.7,10281.7,10298.8,10353.0,10384.7,10392.1,10434.8,2,54.0
812.75M,35509546,852229120,5,11831.4,13080.5,13387.2,11479.7,11543.8,11550.2,10113.2,10269.1,10372.9,10217.6,10437.9,10531.3,2,54.0
861.08M,37621077,902905856,5,12936.9,13362.1,13373.1,11554.6,11558.6,11577.0,10175.3,10313.3,10360.1,10298.5,10442.7,10474.4,2,54.0
912.28M,39858133,956595200,5,12184.1,12695.7,13282.7,11522.2,11525.7,11551.4,10187.8,10326.7,10445.0,10262.8,10431.9,10598.3,2,54.0
966.53M,42228224,1013477376,5,12841.2,12955.5,14062.0,11516.7,11523.4,11561.2,10366.5,10375.8,10485.6,10495.7,10547.7,10625.9,2,54.0
1.00G,44739242,1073741824,5,12008.1,13133.1,13336.1,11536.1,11547.6,11551.6,10287.9,10380.0,10416.0,10410.4,10447.9,10452.8,2,54.0
1.06G,47399594,1137590272,5,12367.0,13305.6,13474.0,11524.9,11532.6,11542.2,9820.2,10038.6,10171.4,9969.8,10180.7,10301.7,2,54.0
1.12G,50218112,1205234688,5,12294.8,12702.8,13645.5,11547.1,11549.2,11549.9,9822.4,9918.2,10243.4,9949.8,10009.0,10362.6,2,55.0
1.19G,53204224,1276901376,5,13018.9,13267.5,13553.5,11537.8,11539.3,11547.0,10302.8,10421.8,10430.1,9912.0,10484.4,10501.8,2,54.0
1.26G,56367914,1352829952,5,12395.3,12848.1,13110.5,11529.4,11532.6,11538.8,10404.0,10445.0,10498.9,10477.2,10504.5,10555.5,2,55.0
1.33G,59719722,1433273344,5,12437.9,12890.6,13180.6,11535.2,11541.0,11554.3,9737.6,9930.5,9933.6,9857.4,9998.1,10088.4,2,55.0
1.41G,63270826,1518499840,5,13057.3,13073.7,13152.3,11528.3,11534.2,11541.2,10265.3,10292.1,10445.2,10348.2,10394.0,10535.6,2,55.0
1.50G,67033130,1608795136,5,12728.4,12992.3,13300.9,11521.2,11521.6,11531.3,10234.1,10321.9,10449.6,9983.1,10247.0,10530.8,2,55.0
1.59G,71019136,1704459264,5,12879.5,12915.2,13255.7,11432.7,11538.9,11540.3,9493.4,10214.1,10540.7,10265.7,10317.2,10555.0,2,55.0
1.68G,75242154,1805811712,5,12391.5,12767.8,13116.7,11513.2,11515.0,11530.2,10387.5,10454.5,10465.6,9652.1,10483.4,10526.0,2,55.0
1.78G,79716266,1913190400,5,12190.1,12310.8,13051.0,11514.2,11520.0,11531.5,10509.4,10515.7,10533.2,10006.3,10360.4,10603.8,2,54.0
1.89G,84456448,2026954752,5,12345.9,12780.2,13018.0,11533.5,11538.5,11545.4,10130.9,10166.2,10348.0,9500.9,10201.8,10416.9,2,54.0
2.00G,89478485,2147483648,5,12401.6,12988.3,13069.4,11530.8,11538.6,11590.0,10251.3,10272.6,10392.6,9803.1,9829.5,10276.1,2,55.0
